id,permutation,image1_file,image2_file,model_1,model_2,model_1_count,model_2_count,tie_count,survey_pref_model1,eval_score_model1,eval_score_model2,eval_pref_model1,pickscore_score_model1,pickscore_score_model2,pickscore_pref_model1,vqa_score_model1,vqa_score_model2,vqa_pref_model1,dsg_score_model1,dsg_score_model2,dsg_pref_model1,tit_score_score_model1,tit_score_score_model2,tit_score_pref_model1,imagereward_score_model1,imagereward_score_model2,imagereward_pref_model1
0904,V1-V2-V3,0904-1.png,0904-2.png,flux,z-image,4,0,0,1.0,0.6111111111111112,0.6111111111111112,0.5,0.22490085661411285,0.23069128394126892,0.4936451632812439,0.9038617014884949,0.8816317915916443,0.5062251444721039,0.5,0.5,0.5,,,,0.03127865493297577,0.47287607192993164,0.062041776594274074
1048,V1-S2-V3,1048-3.png,1048-4.png,z-image,sdxl,2,0,0,1.0,0.8333333333333333,0.4583333333333333,0.6451612903225806,0.23883306980133057,0.21898885071277618,0.5216724213055051,0.9140734672546387,0.7795612215995789,0.5397111155493811,0.21428571428571427,0.14285714285714285,0.6000000000000001,,,,1.4812240600585938,-0.015794670209288597,0.8171294093418326
1048,V1-V2-V3,1048-3.png,1048-4.png,z-image,sdxl,2,0,0,1.0,0.8472222222222222,0.4305555555555556,0.6630434782608696,0.23883306980133057,0.21898885071277618,0.5216724213055051,0.9140734672546387,0.7795612215995789,0.5397111155493811,0.21428571428571427,0.14285714285714285,0.6000000000000001,,,,1.4812240600585938,-0.015794670209288597,0.8171294093418326
0003,V1-S2-V3,0003-1.png,0003-5.png,sd15,sdxl,1,2,2,0.4,0.5833333333333333,0.7083333333333333,0.45161290322580644,0.202511727809906,0.2283545434474945,0.4700106304884678,0.5787544846534729,0.44897741079330444,0.5631376112948949,0.1111111111111111,0.1111111111111111,0.5,,,,-1.7643271684646606,-1.5506694316864014,0.4467878382458084
0003,V1-V2-V3,0003-1.png,0003-5.png,sd15,sdxl,1,2,2,0.4,0.5222222222222223,0.6055555555555556,0.46305418719211827,0.202511727809906,0.2283545434474945,0.4700106304884678,0.5787544846534729,0.44897741079330444,0.5631376112948949,0.1111111111111111,0.1111111111111111,0.5,,,,-1.7643271684646606,-1.5506694316864014,0.4467878382458084
2579,V1-S2-V3,2579-3.png,2579-4.png,flux,qwen-image,1,4,0,0.2,0.3666666666666667,0.5666666666666667,0.3928571428571429,0.2323121428489685,0.2266872525215149,0.5061273395827826,0.7592747807502747,0.8241852521896362,0.4795035965262583,0.375,0.375,0.5,,,,1.3953988552093506,1.1502411365509033,0.5481524723550808
2579,V1-V2-V3,2579-3.png,2579-4.png,flux,qwen-image,1,4,0,0.2,0.32777777777777783,0.5444444444444445,0.37579617834394907,0.2323121428489685,0.2266872525215149,0.5061273395827826,0.7592747807502747,0.8241852521896362,0.4795035965262583,0.375,0.375,0.5,,,,1.3953988552093506,1.1502411365509033,0.5481524723550808
1051,V1-S2-V3,1051-4.png,1051-2.png,sdxl,flux,3,1,0,0.75,1.0,0.5666666666666667,0.6382978723404256,0.23561063408851624,0.2435179054737091,0.4917482776204297,0.9230432510375977,0.39467641711235046,0.7004852954297417,0.36363636363636365,0.2727272727272727,0.5714285714285715,,,,0.8722435235977173,0.027058828622102737,0.9699113111899338
1051,V1-V2-V3,1051-4.png,1051-2.png,sdxl,flux,3,1,0,0.75,0.9166666666666667,0.7111111111111112,0.5631399317406143,0.23561063408851624,0.2435179054737091,0.4917482776204297,0.9230432510375977,0.39467641711235046,0.7004852954297417,0.36363636363636365,0.2727272727272727,0.5714285714285715,,,,0.8722435235977173,0.027058828622102737,0.9699113111899338
0167,V1-S2-V3,0167-1.png,0167-2.png,sdxl,sd15,4,0,0,1.0,0.6333333333333333,0.4666666666666667,0.5757575757575757,0.2285872846841812,0.20764096081256866,0.5240084452208731,0.9654521346092224,0.5544121265411377,0.635222604601866,0.3,0.3,0.5,,,,0.03292720764875412,-1.1879887580871582,0.7722247022116235
